Timestamp,Role,Age Group,Usage Frequency,Login Ease,Time to Complete Transaction,Navigation Clarity,Experienced Technical Errors,Types of Errors,Error Message Clarity,Info to Remember,Effort Required,Would Saved Credentials Help,Stress Level,Satisfaction Level,Portal Increased Anxiety,Suggested Improvements,Open Feedback
2026/03/08 02:50:00 PM,Working Professional,18-25,Daily,Difficult,< 2 min,Not Clear,Yes,OTP Failure; Transaction Failed,Not Clear,User ID; Password; OTP; Security Question,"No, It was simple",Yes,Stressful,Dissatisfied,Yes,Simplified 2FA; Better Guidance,Very confusing for elderly parents to use
2026/03/12 03:03:00 PM,Working Professional,18-25,Monthly,Difficult,5-10 min,Not Clear,Yes,OTP Failure; Transaction Failed,Not Clear,User ID; Password,"Yes, Very much",Yes,Stressful,Dissatisfied,Yes,Clearer Errors; Mobile-Friendly,Takes forever to load during lunch hours
2026/03/29 09:34:00 PM,Working Professional,26-35,Monthly,Difficult,5-10 min,Not Clear,Yes,Page Not Loading; OTP Failure,Very Clear,User ID; Password,"Yes, Very much",Yes,Stressful,Dissatisfied,Yes,Simplified 2FA; Better Guidance,Session timeout without warning lost my transaction data
2026/03/14 09:05:00 AM,Working Professional,18-25,Weekly,Neutral,Failed,Not Clear,No,Page Not Loading; OTP Failure,Not Clear,User ID; Password,"Yes, Somewhat",Yes,Neutral,Neutral,Yes,Mobile-Friendly; Faster Server; Clearer Errors,Need fingerprint/face login option
2026/03/25 10:59:00 PM,Working Professional,46+,Weekly,Difficult,5-10 min,Somewhat clear,Yes,Server Overload; Session Timeout,Not Clear,User ID; Password; OTP; CAPTCHA,"Yes, Very much",Yes,Stressful,Dissatisfied,Yes,Better Guidance; Simplified 2FA,The login process has too many steps
2026/03/18 07:22:00 PM,Working Professional,26-35,Daily,Easy,Failed,Not Clear,Yes,OTP Failure; Transaction Failed,No Error Message,User ID; Password; OTP; CAPTCHA,"Yes, Very much",Yes,Stressful,Dissatisfied,Yes,Faster Server; Simplified 2FA; Better Guidance,The login process has too many steps
2026/03/04 07:09:00 AM,Working Professional,36-45,Rarely,Difficult,5-10 min,Not Clear,Yes,Server Overload; Page Not Loading; OTP Failure,No Error Message,User ID; Password; OTP; Security Question,"Yes, Very much",Yes,Stressful,Satisfied,Yes,Mobile-Friendly; Faster Server; Clearer Errors,"Can't find statements easily, menu is buried"
2026/03/22 01:54:00 PM,Student,18-25,Monthly,Difficult,Failed,Not Clear,No,Server Overload; Page Not Loading; OTP Failure,Somewhat Clear,User ID; Password; OTP,"Yes, Very much",Yes,Neutral,Very Dissatisfied,Yes,Better Guidance; Simplified 2FA,Duplicate transaction happened due to no feedback
2026/03/19 02:24:00 AM,Working Professional,26-35,Weekly,Difficult,Failed,"Yes, completely clear",Yes,Session Timeout,Very Clear,User ID; Password; OTP,"Yes, Somewhat",No,Stressful,Very Dissatisfied,Yes,Clearer Errors; Mobile-Friendly,Duplicate transaction happened due to no feedback
2026/03/23 01:59:00 AM,Working Professional,26-35,Weekly,Difficult,5-10 min,Not Clear,Yes,Server Overload; Session Timeout,Not Clear,User ID; Password,"Yes, Somewhat",Yes,Neutral,Very Dissatisfied,Yes,Mobile-Friendly; Faster Server; Clearer Errors,Duplicate transaction happened due to no feedback
2026/03/20 10:40:00 AM,Student,26-35,Rarely,Difficult,2-5 min,Somewhat clear,Yes,Session Timeout,No Error Message,Password; OTP; CAPTCHA,"No, It was simple",Yes,Stressful,Very Dissatisfied,Yes,Clearer Errors; Mobile-Friendly,The login process has too many steps
2026/03/23 02:16:00 PM,Working Professional,18-25,Rarely,Difficult,2-5 min,"Yes, completely clear",Yes,Page Not Loading; OTP Failure,Somewhat Clear,User ID; Password,"Yes, Very much",Yes,Neutral,Very Satisfied,Yes,Simplified 2FA; Better Guidance,Takes forever to load during lunch hours
2026/03/02 04:42:00 PM,Student,18-25,Weekly,Neutral,2-5 min,Not Clear,Yes,Server Overload; Page Not Loading; OTP Failure,Very Clear,User ID; Password,"Yes, Very much",Yes,Stressful,Neutral,Yes,Faster Server; Simplified 2FA; Better Guidance,Duplicate transaction happened due to no feedback
2026/03/08 09:16:00 PM,Working Professional,18-25,Daily,Neutral,5-10 min,Not Clear,Yes,Server Overload; Page Not Loading; OTP Failure,Somewhat Clear,User ID; Password; OTP; CAPTCHA,"Yes, Very much",Yes,Stressful,Very Dissatisfied,No,Clearer Errors; Mobile-Friendly,"Can't find statements easily, menu is buried"
2026/03/02 02:27:00 PM,Working Professional,18-25,Weekly,Difficult,2-5 min,"Yes, completely clear",Yes,Server Overload; Page Not Loading; OTP Failure,Not Clear,Password; OTP; CAPTCHA,"Yes, Very much",Yes,Stressful,Satisfied,No,Clearer Errors; Mobile-Friendly,"OTP expires too fast, very frustrating"
2026/03/05 04:41:00 AM,Student,26-35,Weekly,Neutral,2-5 min,Not Clear,Yes,OTP Failure; Transaction Failed,Not Clear,User ID; Password; OTP; Security Question,"Yes, Somewhat",Yes,Neutral,Dissatisfied,Yes,Better Guidance; Simplified 2FA,Takes forever to load during lunch hours
2026/03/09 03:29:00 PM,Student,36-45,Monthly,Difficult,5-10 min,"Yes, completely clear",No,Server Overload; Session Timeout,No Error Message,User ID; Password,"No, It was simple",Yes,Stressful,Neutral,Yes,Simplified 2FA; Better Guidance,Need fingerprint/face login option
2026/03/11 12:11:00 AM,Student,18-25,Daily,Neutral,5-10 min,Not Clear,Yes,Server Overload; Page Not Loading; OTP Failure,Not Clear,User ID; Password,"Yes, Very much",Yes,Stressful,Dissatisfied,Yes,Mobile-Friendly; Faster Server; Clearer Errors,Duplicate transaction happened due to no feedback
2026/03/14 12:55:00 AM,Senior Citizen,18-25,Weekly,Difficult,5-10 min,Somewhat clear,Yes,Server Overload; Page Not Loading; OTP Failure,Somewhat Clear,User ID; Password,"Yes, Somewhat",Yes,Stressful,Very Dissatisfied,No,Faster Server; Clearer Errors,Takes forever to load during lunch hours
2026/03/02 06:10:00 AM,Student,26-35,Weekly,Neutral,5-10 min,Not Clear,Yes,OTP Failure; Transaction Failed,No Error Message,Password; OTP; CAPTCHA,"Yes, Somewhat",Yes,Stressful,Neutral,Yes,Faster Server; Clearer Errors,Need fingerprint/face login option
2026/03/11 01:54:00 PM,Student,36-45,Daily,Difficult,Failed,"Yes, completely clear",Yes,OTP Failure; Transaction Failed,Not Clear,User ID; Password; OTP,"Yes, Very much",Yes,Stressful,Neutral,Yes,Faster Server; Simplified 2FA; Better Guidance,"OTP expires too fast, very frustrating"
2026/03/02 06:53:00 PM,Working Professional,18-25,Monthly,Difficult,5-10 min,"Yes, completely clear",Yes,Page Not Loading; OTP Failure,Not Clear,User ID; Password; OTP; CAPTCHA,"Yes, Very much",Yes,Comfortable,Very Dissatisfied,Yes,Faster Server; Clearer Errors,Would love a simpler mobile app
2026/03/08 07:26:00 AM,Working Professional,26-35,Weekly,Difficult,5-10 min,Not Clear,No,Page Not Loading; OTP Failure,Somewhat Clear,User ID; Password; OTP; CAPTCHA,"Yes, Very much",Yes,Stressful,Very Dissatisfied,Yes,Simplified 2FA; Better Guidance,Session timeout without warning lost my transaction data
2026/03/27 01:00:00 AM,Working Professional,26-35,Daily,Neutral,5-10 min,Not Clear,Yes,Page Not Loading; OTP Failure,No Error Message,User ID; Password; OTP; Security Question,"Yes, Very much",Yes,Neutral,Very Satisfied,Yes,Faster Server; Simplified 2FA; Better Guidance,Very confusing for elderly parents to use
